Country Name,Capitol City,Population,GDP,COVID-19 Cases,COVID-19 Deaths
Croatia,Zagreb,4089400,60805659436,8530,175
Rwanda,Kigali,12301939,9509003197,3537,15
Madagascar,Antananarivo,26262368,12100459087,14475,178
Somalia,Mogadishu,15008154,7484000000,3275,95
Syrian Arab Republic,Damascus,16906283,50280000000,2293,92
Ukraine,Kiev,44622516,1.31E+11,110085,2318
Belgium,Brussels,11422068,5.32E+11,82353,9878
Lithuania,Vilnius,2789533,53251369047,2694,85
Namibia,Windhoek,2606971,27505000000,6160,57
Denmark,Copenhagen,5797446,3.51E+11,16480,623
Azerbaijan,Baku,9942334,46939529412,35559,521
Sierra Leone,Freetown,7650154,3999945202,2001,69
Mexico,Mexico City,126190788,1.22E+12,568621,61450
Qatar,Doha,2781677,1.92E+11,117498,194
Kazakhstan,Astana,18276499,1.71E+11,127462,1781
Greece,Athens,10727668,2.18E+11,8987,243
Ecuador,Quito,17084357,1.08E+11,109030,6368
Honduras,Tegucigalpa,9587522,23803230473,55479,1683
Uruguay,Montevideo,3449299,59596885024,1536,43
Netherlands,Amsterdam,17231017,9.13E+11,67476,6198
Uzbekistan,Tashkent,32955400,50499920318,39790,289
Cambodia,Phnom Penh,16249798,24571753583,273,0
Nigeria,Abuja,195874740,3.97E+11,52800,1007
Kuwait,Kuwait City,4137309,1.42E+11,81573,519
Algeria,Algiers,42228429,1.81E+11,42228,1456
Japan,Tokyo,126529100,4.97E+12,63822,1209
El Salvador,San Salvador,6420744,26056950000,24986,687
Senegal,Dakar,15854360,24129599552,13056,274
Cote d'Ivoire,Yamoussoukro,23740424,1.06E+11,17562,114
Turkey,Ankara,82319724,7.67E+11,261194,6163
United Arab Emirates,Abu Dhabi,9630959,4.14E+11,67621,377
Bosnia and Herzegovina,Sarajevo,3323929,19781776101,18324,554
Thailand,Bangkok,69428524,5.05E+11,3403,58
Canada,Ottawa,37058856,1.71E+12,125969,9090
Russia,Moscow,144478050,1.66E+12,966189,16568
Liberia,Monrovia,4818977,3249000000,1295,82
Sudan,Khartoum,41801533,40851536134,12974,819
Bolivia,Sucre,11353142,40287647757,110999,4664
Taiwan Province of China,Taipei,23577271,1.31E+12,487,7
Latvia,Riga,1926542,34849078086,1342,33
Tunisia,Tunis,11565204,39860715814,3069,71
Yemen,Sanaa,28498687,26914402224,1924,557
Saudi Arabia,Riyadh,33699947,7.82E+11,309768,3722
Bangladesh,Dhaka,161356039,2.74E+11,299628,4028
Nepal,Kathmandu,28087871,28812491892,33533,164
Kosovo,Pristina,1845300,7900268736,12683,488
Peru,Lima,31989256,2.22E+11,607382,28001
Bahrain,Manama,1569439,37746196809,50076,186
Myanmar,Nay Pyi Taw,53708395,71214803378,504,6
Macedonia,Skopje,2103721,33822000000,13673,568
Palestinian Territories,East Jerusalem,4550000,14500000000,26162,150
Benin,Porto-Novo,11485048,10358985583,2115,39
Tajikistan,Dushanbe,9100837,7522947810,8379,67
Panama,Panama City,4176873,65055100000,88381,1919
Norway,Oslo,5314336,4.35E+11,10395,264
Hungary,Budapest,9768785,1.56E+11,5215,614
Germany,Berlin,82927922,4.00E+12,236429,9280
Slovak Republic,Bratislava,5447011,1.06E+11,3452,33
Philippines,Manila,106651922,3.31E+11,197164,3038
Slovenia,Ljubljana,2067372,54235484383,2686,128
Moldova,Chisinau,3545883,11309082555,34358,960
Czech Republic,Prague,10625695,2.44E+11,22548,416
Hong Kong of China,Hong Kong,7451000,3.63E+11,4736,78
Chad,N'Djamena,15477751,11302544205,995,77
Sri Lanka,Colombo,21670000,88900770858,2971,12
Morocco,Rabat,36029138,1.18E+11,54528,955
Chile,Santiago,18729160,2.98E+11,400985,10958
Gabon,Libreville,2119275,17017401832,8409,53
Bhutan,Thimphu,754394,2534965163,173,0
Colombia,Bogota,49648685,3.30E+11,562128,17889
Mali,Bamako,19077690,17196688920,2713,125
Ghana,Accra,29767108,65556464056,43717,270
Iceland,Reykjavik,353574,25878475760,2077,10
Uganda,Kampala,42723139,27476945526,2426,25
Republic of the Congo,Brazzaville,5244363,11263682694,3979,78
Iraq,Baghdad,38433600,2.26E+11,211947,6596
Belize,Belmopan,408487,3343000000,730,10
Lebanon,Beirut,6848925,56639155556,13687,138
France,Paris,66987244,2.78E+12,248158,30544
Democratic Republic of the Congo,Kinshasa,84068091,47227535291,9891,251
Jordan,Amman,9956011,42290832158,1716,14
Afghanistan,Kabul,37172386,19362969582,38071,1397
Jamaica,Kingston,2934855,15717858487,1732,19
Zambia,Lusaka,17351822,26720073436,11285,282
Venezuela,Caracas,28870195,76458000000,41158,343
Trinidad and Tobago,Port of Spain,1389858,23410353435,1252,15
Serbia,Belgrade,6982084,50508366850,30820,705
Iran,Tehran,81800269,1.54E+12,361150,20776
Lesotho,Maseru,2108132,2791762880,1049,30
Niger,Niamey,22442948,9239513530,1173,69
Mozambique,Maputo,29495962,14457964381,3508,21
Ireland,Dublin,4853506,3.76E+11,28201,1777
Estonia,Tallinn,1320884,30284890757,2294,64
Costa Rica,San Jose,4999441,60126014829,35305,376
Luxembourg,Luxembourg,607728,69487922619,7838,124
Finland,Helsinki,5518050,2.76E+11,7981,335
Angola,Luanda,30809762,1.06E+11,2222,100
Belarus,Minsk,9485386,59662495092,70727,652
Zimbabwe,Harare,14439018,31000519447,6196,166
Spain,Madrid,46723749,1.43E+12,412553,28924
Pakistan,Islamabad,212215030,3.13E+11,294193,6267
Switzerland,Berne,8516543,7.06E+11,40161,1722
Mauritius,Port Louis,1265303,14220348673,346,10
Austria,Vienna,8847037,4.56E+11,25838,733
Egypt,Cairo,98423595,2.51E+11,97619,5298
Poland,Warsaw,37978548,5.86E+11,63073,1977
Albania,Tirana,2866376,15058879129,8759,259
Haiti,Port-au-Prince,11123176,9658084644,8112,196
Bulgaria,Sofia,7024216,65132951116,15386,563
Paraguay,Asuncion,6956071,40842341774,14228,231
Portugal,Lisbon,10281762,2.38E+11,55912,1805
Guatemala,Guatemala City,17247807,78460447920,69651,2630
Ethiopia,Addis Ababa,109224559,84355462494,43688,709
Cyprus,Nicosia,1189265,24469841832,1474,21
Malaysia,Kuala Lumpur,31528585,3.54E+11,9285,125
Central African Republic,Bangui,4666377,2379716827,4691,61
China,Beijing,1392730000,1.36E+13,89752,4712
Argentina,Buenos Aires,44494502,5.18E+11,359625,7563
Nicaragua,Managua,6465513,13117859222,4494,137
Romania,Bucharest,19473936,2.40E+11,80390,3367
Indonesia,Jakarta,267663435,1.04E+12,157859,6858
Montenegro,Podgorica,622345,5452173041,4444,87
Italy,Rome,60431283,2.07E+12,261174,35445
Vietnam,Hanoi,95540395,2.45E+11,1029,27
Botswana,Gaborone,2254126,18616018903,1562,3
Libya,Tripolis,6678567,48319620013,11281,203
United Kingdom,London,66488991,2.83E+12,327798,41449
Malawi,Lilongwe,18143315,7064971176,5423,170
Georgia,Tbilisi,3731000,16209818081,1436,19
Togo,Lome,7889094,5300214337,1309,27
South Korea,Seoul,51709098,2.24E+12,18265,312
Burkina Faso,Ouagadougou,19751535,14441763759,1352,55
Armenia,Yerevan,2951776,12433089919,42936,858
India,New Delhi,1352617328,2.73E+12,3234474,59449
Kenya,Nairobi,51393010,87908262520,32803,559
Guinea,Conakry,12414318,10989790256,9128,57
South Africa,Pretoria,57779622,3.66E+11,613017,13308
United States,Washington,327167434,2.05E+13,5779028,178486
Mauritania,Nouakchott,4403319,5365868725,6928,158
Sweden,Stockholm,10183175,5.51E+11,86891,5814
Dominican Republic,Santo Domingo,10627165,81298585403,92217,1585
Singapore,Singapur,5638676,3.64E+11,56435,27
Cameroon,Yaounde,25216237,38502059858,18973,410
Israel,Jerusalem,8883800,3.70E+11,107078,859
Malta,Valletta,483530,14542039605,1705,10
Burundi,Bujumbura,11175378,3078029929,430,1
Mongolia,Ulan Bator,3170208,13009574621,300,0
New Zealand,Wellington,4885500,2.05E+11,1344,22
Brazil,Brasilia,209469333,1.87E+12,3669995,116580
South Sudan,Juba,10975920,18435000000,2507,47
Kyrgyzstan,Bishkek,6315800,8092836609,43358,1057
Tanzania,Dodoma,56318348,57437073927,509,21
Australia,Canberra,24992369,1.43E+12,25053,525
